Round,Date,Team 1,FT,HT,Team 2
?,(Thu) 15 Sep 2016 (W37),Santa Cruz (25),1-0,?,Atlético PR (25)
?,(Thu) 15 Sep 2016 (W37),Coritiba PR (25),1-1,?,Corinthians SP (25)
?,(Thu) 15 Sep 2016 (W37),Palmeiras SP (25),1-1,?,Flamengo RJ (25)
?,(Thu) 15 Sep 2016 (W37),Atlético MG (25),1-0,?,Sport Recife (25)
?,(Thu) 15 Sep 2016 (W37),Fluminense RJ (25),1-2,?,Chapecoense (25)
?,(Fri) 16 Sep 2016 (W37),Internacional Porto Alegre (25),0-1,?,EC Vitória (25)
?,(Fri) 16 Sep 2016 (W37),São Paulo FC (25),1-0,?,Cruzeiro MG (25)
?,(Sat) 17 Sep 2016 (W37),Corinthians SP (26),0-2,?,Palmeiras SP (26)
?,(Sun) 18 Sep 2016 (W37),Flamengo RJ (26),2-0,?,Figueirense (26)
?,(Sun) 18 Sep 2016 (W37),Atlético PR (26),1-0,?,São Paulo FC (26)
?,(Sun) 18 Sep 2016 (W37),Chapecoense (26),2-2,?,Ponte Preta (26)
?,(Sun) 18 Sep 2016 (W37),Cruzeiro MG (26),1-1,?,Atlético MG (26)
?,(Sun) 18 Sep 2016 (W37),Grêmio RS (26),0-1,?,Fluminense RJ (26)
?,(Sun) 18 Sep 2016 (W37),Sport Recife (26),0-1,?,Coritiba PR (26)
?,(Sun) 18 Sep 2016 (W37),Santos SP (26),3-2,?,Santa Cruz (26)
?,(Sun) 18 Sep 2016 (W37),EC Vitória (26),0-1,?,Botafogo RJ (26)
?,(Tue) 20 Sep 2016 (W38),América MG (26),1-0,?,Internacional Porto Alegre (26)
?,(Sat) 24 Sep 2016 (W38),Palmeiras SP (27),2-1,?,Coritiba PR (27)
?,(Sat) 24 Sep 2016 (W38),Sport Recife (27),1-0,?,Santos SP (27)
?,(Sun) 25 Sep 2016 (W38),América MG (27),1-0,?,Botafogo RJ (27)
?,(Sun) 25 Sep 2016 (W38),Atlético PR (27),3-0,?,Ponte Preta (27)
?,(Sun) 25 Sep 2016 (W38),Figueirense (27),3-1,?,Santa Cruz (27)
?,(Sun) 25 Sep 2016 (W38),Corinthians SP (27),0-1,?,Fluminense RJ (27)
?,(Sun) 25 Sep 2016 (W38),Flamengo RJ (27),2-1,?,Cruzeiro MG (27)
?,(Sun) 25 Sep 2016 (W38),Grêmio RS (27),1-0,?,Chapecoense (27)
?,(Sun) 25 Sep 2016 (W38),EC Vitória (27),2-0,?,São Paulo FC (27)
?,(Sun) 25 Sep 2016 (W38),Atlético MG (27),3-1,?,Internacional Porto Alegre (27)
?,(Sat) 1 Oct 2016 (W39),Fluminense RJ (28),3-1,?,Sport Recife (28)
?,(Sat) 1 Oct 2016 (W39),Chapecoense (28),1-4,?,EC Vitória (28)
?,(Sat) 1 Oct 2016 (W39),Santos SP (28),2-0,?,Atlético PR (28)
?,(Sat) 1 Oct 2016 (W39),São Paulo FC (28),0-0,?,Flamengo RJ (28)
?,(Sat) 1 Oct 2016 (W39),Botafogo RJ (28),2-0,?,Corinthians SP (28)
?,(Sat) 1 Oct 2016 (W39),Ponte Preta (28),1-2,?,Atlético MG (28)
?,(Sat) 1 Oct 2016 (W39),Cruzeiro MG (28),1-0,?,Grêmio RS (28)
?,(Sun) 2 Oct 2016 (W39),Internacional Porto Alegre (28),1-0,?,Figueirense (28)
?,(Tue) 4 Oct 2016 (W40),Santa Cruz (28),2-3,?,Palmeiras SP (28)
?,(Tue) 4 Oct 2016 (W40),Coritiba PR (28),3-0,?,América MG (28)
